Contexto;Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Nueva Columna
En la película Knute Rockne, All American, Knute Rockne (interpretado por Pat O 'Brien) ofrece el famoso discurso Win one for the Gipper, momento en el que la música de fondo se hincha. George Gipp fue interpretado por Ronald Reagan, cuyo apodo The Gipper deriva de este papel. Esta escena fue parodiada en la película Airplane! Con la misma música de fondo, sólo esta vez honrando a George Zipp, uno de los ex camaradas de Ted Striker. La canción también fue prominente en la película Rudy, con Sean Astin como Daniel Rudy Ruettiger, que albergaba sueños de jugar al fútbol en la Universidad de Notre Dame a pesar de obstáculos significativos.;¿Quién interpretó a Daniel Ruettiger en la película Rudy?;Harrison Ford;Johnny Depp;Tom Cruise;Sean Astin;Sean Astin;Valor Predeterminado
En la película Knute Rockne, All American, Knute Rockne (interpretado por Pat O 'Brien) ofrece el famoso discurso Win one for the Gipper, momento en el que la música de fondo se hincha. George Gipp fue interpretado por Ronald Reagan, cuyo apodo The Gipper deriva de este papel. Esta escena fue parodiada en la película Airplane! Con la misma música de fondo, sólo esta vez honrando a George Zipp, uno de los ex camaradas de Ted Striker. La canción también fue prominente en la película Rudy, con Sean Astin como Daniel Rudy Ruettiger, que albergaba sueños de jugar al fútbol en la Universidad de Notre Dame a pesar de obstáculos significativos.;¿Qué persona fue un ex compañero de Ted Striker en la película Airplane!?;George Zipp;Rudy Ruettiger;Ron Burgundy;George Gipp;George Zipp;Valor Predeterminado
En la película Knute Rockne, All American, Knute Rockne (interpretado por Pat O 'Brien) ofrece el famoso discurso Win one for the Gipper, momento en el que la música de fondo se hincha. George Gipp fue interpretado por Ronald Reagan, cuyo apodo The Gipper deriva de este papel. Esta escena fue parodiada en la película Airplane! Con la misma música de fondo, sólo esta vez honrando a George Zipp, uno de los ex camaradas de Ted Striker. La canción también fue prominente en la película Rudy, con Sean Astin como Daniel Rudy Ruettiger, que albergaba sueños de jugar al fútbol en la Universidad de Notre Dame a pesar de obstáculos significativos.;Pat O 'Brien interpretó a qué persona en la película Knute Rockne?;Ted Striker;George Gipp;Knute Rockne;"Daniel ""Rudy"" Ruettiger";Knute Rockne;Valor Predeterminado
Los alumnos de Notre Dame trabajan en varios campos. Los ex alumnos que trabajan en campos políticos incluyen gobernadores estatales, miembros del Congreso de los Estados Unidos y la ex Secretaria de Estado de los Estados Unidos Condoleezza Rice. Un alumno notable de la Facultad de Ciencias es el ganador del Premio Nobel de Medicina Eric F. Wieschaus. Varios jefes universitarios son ex alumnos, incluido el actual presidente de Notre Dame, el Rev. John Jenkins. Además, muchos ex alumnos están en los medios, incluyendo los presentadores de programas de entrevistas Regis Philbin y Phil Donahue, y personalidades de televisión y radio como Mike Golic y Hannah Storm. Con la universidad teniendo equipos deportivos de alto perfil, varios ex alumnos se involucraron en atletismo fuera de la universidad, incluyendo béisbol profesional, baloncesto, fútbol y hockey sobre hielo, como Joe Theismann, Joe Montana. Otros alumnos notables incluyen al prominente empresario Edward J. DeBartolo, Jr. y al astronauta Jim Wetherbee.;¿Qué Secretario de Estado asistió a Notre Dame?;Condoleezza Rice;Colin Powell;George Schultz;Condoleezza Rice;Condoleezza Rice;Valor Predeterminado
Los alumnos de Notre Dame trabajan en varios campos. Los ex alumnos que trabajan en campos políticos incluyen gobernadores estatales, miembros del Congreso de los Estados Unidos y la ex Secretaria de Estado de los Estados Unidos Condoleezza Rice. Un alumno notable de la Facultad de Ciencias es el ganador del Premio Nobel de Medicina Eric F. Wieschaus. Varios jefes universitarios son ex alumnos, incluido el actual presidente de Notre Dame, el Rev. John Jenkins. Además, muchos ex alumnos están en los medios, incluyendo los presentadores de programas de entrevistas Regis Philbin y Phil Donahue, y personalidades de televisión y radio como Mike Golic y Hannah Storm. Con la universidad teniendo equipos deportivos de alto perfil, varios ex alumnos se involucraron en atletismo fuera de la universidad, incluyendo béisbol profesional, baloncesto, fútbol y hockey sobre hielo, como Joe Theismann, Joe Montana. Otros alumnos notables incluyen al prominente empresario Edward J. DeBartolo, Jr. y al astronauta Jim Wetherbee.;¿Cuál alumbre de Notre Dame del Colegio de Ciencias ganó un Premio Nobel?;Condoleezza Rice;John Jenkins;Eric F. Wieschaus;Eric F. Wieschaus;Eric F. Wieschaus;Valor Predeterminado
Los alumnos de Notre Dame trabajan en varios campos. Los ex alumnos que trabajan en campos políticos incluyen gobernadores estatales, miembros del Congreso de los Estados Unidos y la ex Secretaria de Estado de los Estados Unidos Condoleezza Rice. Un alumno notable de la Facultad de Ciencias es el ganador del Premio Nobel de Medicina Eric F. Wieschaus. Varios jefes universitarios son ex alumnos, incluido el actual presidente de Notre Dame, el Rev. John Jenkins. Además, muchos ex alumnos están en los medios, incluyendo los presentadores de programas de entrevistas Regis Philbin y Phil Donahue, y personalidades de televisión y radio como Mike Golic y Hannah Storm. Con la universidad teniendo equipos deportivos de alto perfil, varios ex alumnos se involucraron en atletismo fuera de la universidad, incluyendo béisbol profesional, baloncesto, fútbol y hockey sobre hielo, como Joe Theismann, Joe Montana. Otros alumnos notables incluyen al prominente empresario Edward J. DeBartolo, Jr. y al astronauta Jim Wetherbee.;¿Quién es el actual presidente de Notre Dame?;Mike Golic;Edward J. DeBartolo;Rev. John I.;John Jenkins;John Jenkins;Valor Predeterminado
Los alumnos de Notre Dame trabajan en varios campos. Los ex alumnos que trabajan en campos políticos incluyen gobernadores estatales, miembros del Congreso de los Estados Unidos y la ex Secretaria de Estado de los Estados Unidos Condoleezza Rice. Un alumno notable de la Facultad de Ciencias es el ganador del Premio Nobel de Medicina Eric F. Wieschaus. Varios jefes universitarios son ex alumnos, incluido el actual presidente de Notre Dame, el Rev. John Jenkins. Además, muchos ex alumnos están en los medios, incluyendo los presentadores de programas de entrevistas Regis Philbin y Phil Donahue, y personalidades de televisión y radio como Mike Golic y Hannah Storm. Con la universidad teniendo equipos deportivos de alto perfil, varios ex alumnos se involucraron en atletismo fuera de la universidad, incluyendo béisbol profesional, baloncesto, fútbol y hockey sobre hielo, como Joe Theismann, Joe Montana. Otros alumnos notables incluyen al prominente empresario Edward J. DeBartolo, Jr. y al astronauta Jim Wetherbee.;Mariel Zagunis es notable por ganar ¿qué?;Mariel Zagunis es notable por ganar el Premio Nobel de Literatura.;Mariel Zagunis es notable por ganar una medalla de oro olímpica en natación.;Mariel Zagunis es notable por ganar el Campeonato Mundial de Gimnasia.;Joe;Joe;Valor Predeterminado
Los alumnos de Notre Dame trabajan en varios campos. Los ex alumnos que trabajan en campos políticos incluyen gobernadores estatales, miembros del Congreso de los Estados Unidos y la ex Secretaria de Estado de los Estados Unidos Condoleezza Rice. Un alumno notable de la Facultad de Ciencias es el ganador del Premio Nobel de Medicina Eric F. Wieschaus. Varios jefes universitarios son ex alumnos, incluido el actual presidente de Notre Dame, el Rev. John Jenkins. Además, muchos ex alumnos están en los medios, incluyendo los presentadores de programas de entrevistas Regis Philbin y Phil Donahue, y personalidades de televisión y radio como Mike Golic y Hannah Storm. Con la universidad teniendo equipos deportivos de alto perfil, varios ex alumnos se involucraron en atletismo fuera de la universidad, incluyendo béisbol profesional, baloncesto, fútbol y hockey sobre hielo, como Joe Theismann, Joe Montana. Otros alumnos notables incluyen al prominente empresario Edward J. DeBartolo, Jr. y al astronauta Jim Wetherbee.;¿Qué astronauta notable ha asistido a Notre Dame?;astronauta Ji;Astronauta Buzz Aldrin;Astronauta John Glenn;Astronauta Neil Armstrong;astronauta Ji;Valor Predeterminado
Beyoncé Giselle Knowles-Carter (nacida el 4 de septiembre de 1981) es una cantante, compositora, productora y actriz estadounidense. Nacida y criada en Houston, Texas, actuó en varios concursos de canto y baile cuando era niña, y saltó a la fama a finales de 1990 como cantante del grupo femenino de R & B Destiny 's Child. Dirigida por su padre, Mathew Knowles, el grupo se convirtió en uno de los grupos de chicas más vendidos de todos los tiempos. Su hiato vio el lanzamiento del álbum debut de Beyoncé, Dangerously in Love (2003), que la estableció como una artista en solitario en todo el mundo, ganó cinco premios Grammy y presentó el Billboard Hot 100 sencillos número uno Crazy in Love y .;¿Cuándo Beyonce comenzó a ser popular?;En su infancia;Después de terminar la escuela secundaria;a finales de 1990;Con su grupo Destiny's Child en el año 2000;a finales de 1990;Valor Predeterminado
Beyoncé Giselle Knowles-Carter (nacida el 4 de septiembre de 1981) es una cantante, compositora, productora y actriz estadounidense. Nacida y criada en Houston, Texas, actuó en varios concursos de canto y baile cuando era niña, y saltó a la fama a finales de 1990 como cantante del grupo femenino de R & B Destiny 's Child. Dirigida por su padre, Mathew Knowles, el grupo se convirtió en uno de los grupos de chicas más vendidos de todos los tiempos. Su hiato vio el lanzamiento del álbum debut de Beyoncé, Dangerously in Love (2003), que la estableció como una artista en solitario en todo el mundo, ganó cinco premios Grammy y presentó el Billboard Hot 100 sencillos número uno Crazy in Love y .;¿En qué áreas compitió Beyonce cuando era niña?;Gimnasia;Baile y;Actuación teatral;canto y;canto y;Valor Predeterminado
Beyoncé Giselle Knowles-Carter (nacida el 4 de septiembre de 1981) es una cantante, compositora, productora y actriz estadounidense. Nacida y criada en Houston, Texas, actuó en varios concursos de canto y baile cuando era niña, y saltó a la fama a finales de 1990 como cantante del grupo femenino de R & B Destiny 's Child. Dirigida por su padre, Mathew Knowles, el grupo se convirtió en uno de los grupos de chicas más vendidos de todos los tiempos. Su hiato vio el lanzamiento del álbum debut de Beyoncé, Dangerously in Love (2003), que la estableció como una artista en solitario en todo el mundo, ganó cinco premios Grammy y presentó el Billboard Hot 100 sencillos número uno Crazy in Love y .;¿Cuándo Beyonce dejó Destiny 's Child y se convirtió en cantante solista?;1998;(200;2006;2005;(200;Valor Predeterminado
Beyoncé Giselle Knowles-Carter (nacida el 4 de septiembre de 1981) es una cantante, compositora, productora y actriz estadounidense. Nacida y criada en Houston, Texas, actuó en varios concursos de canto y baile cuando era niña, y saltó a la fama a finales de 1990 como cantante del grupo femenino de R & B Destiny 's Child. Dirigida por su padre, Mathew Knowles, el grupo se convirtió en uno de los grupos de chicas más vendidos de todos los tiempos. Su hiato vio el lanzamiento del álbum debut de Beyoncé, Dangerously in Love (2003), que la estableció como una artista en solitario en todo el mundo, ganó cinco premios Grammy y presentó el Billboard Hot 100 sencillos número uno Crazy in Love y .;¿En qué década Beyonce se hizo famoso?;Comienzos de 2010;A principios de 1990;finales de 1990;Medio de 2000;finales de 1990;Valor Predeterminado
